,Target ID,Plate ID,MJD,OBSVHELIO (km/s),OBSVREL Error (km/s)
164071,apo25m.5226.150-08-RV.2M03252400+4614203,9290,57706,-86.565704,0.010244954
164072,apo25m.5226.150-08-RV.2M03252400+4614203,9290,57732,-86.38343,0.0082057705
164073,apo25m.5226.150-08-RV.2M03252400+4614203,9290,57734,-86.38687,0.009015157
164074,apo25m.5226.150-08-RV.2M03252400+4614203,9290,57735,-86.53284,0.010741675
164075,apo25m.5226.150-08-RV.2M03252400+4614203,9290,57760,-86.36664,0.01203546
164076,apo25m.5226.150-08-RV.2M03252400+4614203,9290,57788,-86.563065,0.021135613
164077,apo25m.5226.150-08-RV.2M03252400+4614203,9290,57789,-86.45743,0.0091623105
164078,apo25m.5226.150-08-RV.2M03252400+4614203,9290,58006,-86.392876,0.00961901
164079,apo25m.5226.150-08-RV.2M03252400+4614203,9290,58032,-86.37956,0.012865798
164080,apo25m.5226.150-08-RV.2M03252400+4614203,9290,58054,-86.56407,0.008792217
164081,apo25m.5226.150-08-RV.2M03252400+4614203,9290,58063,-86.51988,0.007802881
164082,apo25m.5226.150-08-RV.2M03252400+4614203,9290,58068,-86.52421,0.008600922
164083,apo25m.5226.150-08-RV.2M03252400+4614203,9290,58085,-86.569565,0.009635643
164084,apo25m.5226.150-08-RV.2M03252400+4614203,9290,58087,-86.53244,0.008684424
164085,apo25m.5226.150-08-RV.2M03252400+4614203,9290,58114,-86.53083,0.01867227
164086,apo25m.5226.150-08-RV.2M03252400+4614203,9290,58143,-86.09608,0.019951664
164551,apo25m.5226.150-08-RV.2M03254141+4609481,9290,57706,-0.76717734,1.1959128
164552,apo25m.5226.150-08-RV.2M03254141+4609481,9290,57732,2.6661034,0.96425205
164553,apo25m.5226.150-08-RV.2M03254141+4609481,9290,57734,-4.6850753,1.1024057
164554,apo25m.5226.150-08-RV.2M03254141+4609481,9290,57735,-5.7001896,1.3138274
164555,apo25m.5226.150-08-RV.2M03254141+4609481,9290,57760,6.417801,1.0261784
164556,apo25m.5226.150-08-RV.2M03254141+4609481,9290,57788,-12.257448,1.683325
164557,apo25m.5226.150-08-RV.2M03254141+4609481,9290,57789,14.7012005,0.8217778
164558,apo25m.5226.150-08-RV.2M03254141+4609481,9290,58006,1.1529236,0.9062016
164559,apo25m.5226.150-08-RV.2M03254141+4609481,9290,58032,-17.365372,1.2046385
164560,apo25m.5226.150-08-RV.2M03254141+4609481,9290,58054,3.7663012,0.83189255
164561,apo25m.5226.150-08-RV.2M03254141+4609481,9290,58063,-4.9220533,0.67142886
164562,apo25m.5226.150-08-RV.2M03254141+4609481,9290,58068,-7.7817082,0.85983884
164563,apo25m.5226.150-08-RV.2M03254141+4609481,9290,58085,2.0582616,0.89602846
164564,apo25m.5226.150-08-RV.2M03254141+4609481,9290,58087,-1.4844095,0.8164715
164565,apo25m.5226.150-08-RV.2M03254141+4609481,9290,58114,-2.5467386,2.1657915
164566,apo25m.5226.150-08-RV.2M03254141+4609481,9290,58143,-0.1383133,0.79408246
165139,apo25m.5226.150-08-RV.2M03260338+4545080,9290,57706,-20.897396,0.0037410255
165140,apo25m.5226.150-08-RV.2M03260338+4545080,9290,57732,-18.723587,0.0036718855
165141,apo25m.5226.150-08-RV.2M03260338+4545080,9290,57734,-18.811302,0.004136343
165142,apo25m.5226.150-08-RV.2M03260338+4545080,9290,57735,-18.96112,0.004418985
165143,apo25m.5226.150-08-RV.2M03260338+4545080,9290,57760,-16.871546,0.0048603565
165144,apo25m.5226.150-08-RV.2M03260338+4545080,9290,57788,-16.772781,0.0072308867
165145,apo25m.5226.150-08-RV.2M03260338+4545080,9290,57789,-16.76025,0.0034211231
165146,apo25m.5226.150-08-RV.2M03260338+4545080,9290,58006,-24.954899,0.0041115372
165147,apo25m.5226.150-08-RV.2M03260338+4545080,9290,58032,-24.503904,0.0050403085
165148,apo25m.5226.150-08-RV.2M03260338+4545080,9290,58054,-23.64772,0.0033997556
165149,apo25m.5226.150-08-RV.2M03260338+4545080,9290,58063,-23.398949,0.0032125
165150,apo25m.5226.150-08-RV.2M03260338+4545080,9290,58068,-23.137518,0.0036378605
165151,apo25m.5226.150-08-RV.2M03260338+4545080,9290,58085,-22.42648,0.00389148
165152,apo25m.5226.150-08-RV.2M03260338+4545080,9290,58087,-22.320555,0.0035825681
165153,apo25m.5226.150-08-RV.2M03260338+4545080,9290,58114,-20.985718,0.006814593
165154,apo25m.5226.150-08-RV.2M03260338+4545080,9290,58143,-18.93384,0.0031678244
165678,apo25m.5226.150-08-RV.2M03262343+4632226,9290,57706,12.386268,0.0062287743
165679,apo25m.5226.150-08-RV.2M03262343+4632226,9290,57732,12.440001,0.004783786
